Rheintal Sparkasse
Kontoauszug / Account statement
IBAN: DE89 3704 0044 0532 0130 00
Buchungszeitraum: 01.02.2025 - 28.02.2025

Buchungstag;Verwendungszweck;Betrag;Saldo
01.02.2025;Anfangssaldo;;12.480,35
03.02.2025;Kartenzahlung METRO CASH & CARRY 4412;-412,80;12.067,55
05.02.2025;Überweisung MIETE FEBRUAR;-2.100,00;9.967,55
07.02.2025;Gutschrift RECHNUNG 2025-114 KANZLEI BERG;3.480,00 €;13.447,55
11.02.2025;Lastschrift STADTWERKE STROM;-186,45;13.261,10
14.02.2025;Kartenzahlung BÜROBEDARF MÜLLER;-97,20;13.163,90
18.02.2025;Gutschrift RECHNUNG 2025-115 HOTEL SONNE;1.250,00 €;14.413,90
21.02.2025;Überweisung LIEFERANT FA. KLUGE;-638,20;13.775,70
25.02.2025;Kontoführungsgebühr;-12,90;13.762,80
27.02.2025;Lastschrift VERSICHERUNG AG;-540,00;13.222,80
28.02.2025;Abschlusssaldo;;13.222,80
